Date,Price High,Price Low,Price Open,Price Close
1/4/2010,1122.300049,1097.099976,1117.699951,1117.699951
1/5/2010,1126.5,1115,1118.099976,1118.099976
1/6/2010,1139.199951,1120.699951,1135.900024,1135.900024
1/7/2010,1133.099976,1129.199951,1133.099976,1133.099976
1/8/2010,1138.199951,1122.699951,1138.199951,1138.199951
1/11/2010,1161.199951,1143,1150.699951,1150.699951
1/12/2010,1157.199951,1127.199951,1128.900024,1128.900024
1/13/2010,1136.400024,1121,1136.400024,1136.400024
1/14/2010,1145.900024,1132.800049,1137,1142.599976
1/15/2010,1133.400024,1127.199951,1132.800049,1130.099976
1/19/2010,1139.699951,1130.5,1139.699951,1139.699951
1/20/2010,1133,1109.800049,1123.300049,1112.300049
1/21/2010,1107.5,1090.199951,1102.699951,1102.699951
1/22/2010,1095.400024,1083,1089.199951,1089.199951
1/25/2010,1095.199951,1095.199951,1095.199951,1095.199951
1/26/2010,1097.900024,1097.900024,1097.900024,1097.900024
1/27/2010,1084.400024,1084.400024,1084.400024,1084.400024
1/28/2010,1095.699951,1073.199951,1087.800049,1083.599976
1/29/2010,1090.800049,1074.5,1085,1083
2/1/2010,1107.300049,1076.800049,1081,1104.300049
2/2/2010,1118.5,1100.199951,1117.400024,1117.400024
2/3/2010,1124.900024,1108.599976,1115.800049,1111.400024
2/4/2010,1110.699951,1059,1110,1062.400024
2/5/2010,1068.5,1045.199951,1052.199951,1052.199951
2/8/2010,1073.400024,1061.599976,1065.699951,1065.699951
2/9/2010,1082,1063.099976,1076.699951,1076.699951
2/10/2010,1081.099976,1063.300049,1075.800049,1075.800049
2/11/2010,1097.099976,1075.599976,1076.800049,1094.199951
2/12/2010,1092,1079.800049,1089.5,1089.5
2/16/2010,1120.400024,1092.400024,1119.300049,1119.300049
2/17/2010,1127,1108.5,1119.5,1119.5
2/18/2010,1123.699951,1100.800049,1118,1118
2/19/2010,1126.199951,1099.699951,1121.300049,1121.300049
2/22/2010,1127.400024,1110,1112.599976,1112.599976
2/23/2010,1118.300049,1102.599976,1116.400024,1102.699951
2/24/2010,1096.5,1096.5,1096.5,1096.5
2/25/2010,1108.199951,1088.699951,1107.800049,1107.800049
2/26/2010,1118.300049,1106.800049,1106.800049,1118.300049
3/1/2010,1121.900024,1113.599976,1119.300049,1117.800049
3/2/2010,1137.400024,1115.699951,1136.900024,1136.900024
3/3/2010,1145,1133.699951,1142.699951,1142.699951
3/4/2010,1139,1128.599976,1132.599976,1132.599976
3/5/2010,1134.800049,1134.800049,1134.800049,1134.800049
3/8/2010,1123.599976,1123.599976,1123.599976,1123.599976
3/9/2010,1124,1113.099976,1122,1122
3/10/2010,1127.099976,1106.900024,1107.800049,1107.800049
3/11/2010,1108,1108,1108,1108
